"","gender","race","education","state","age","employment","people_in_each_state","number_in_cell","cell_prop_of_division_total"
"278","Male","Others","Less than highschool","AL","Age_75+","unemployed",7413,20,0.00269796303790638
"279","Male","Others","Undergraduates or similar degree","AL","Age_18-29","employed",7413,183,0.0246863617968434
"280","Male","Others","Undergraduates or similar degree","AL","Age_18-29","unemployed",7413,68,0.00917307432888169
"281","Male","Others","Undergraduates or similar degree","AL","Age_30-44","employed",7413,261,0.0352084176446783
"282","Male","Others","Undergraduates or similar degree","AL","Age_30-44","unemployed",7413,23,0.00310265749359234
"283","Male","Others","Undergraduates or similar degree","AL","Age_45-59","employed",7413,287,0.0387157695939566
"284","Male","Others","Undergraduates or similar degree","AL","Age_45-59","unemployed",7413,40,0.00539592607581276
"285","Male","Others","Undergraduates or similar degree","AL","Age_60-74","employed",7413,132,0.0178065560501821
"286","Male","Others","Undergraduates or similar degree","AL","Age_60-74","unemployed",7413,170,0.0229326858222042
"287","Male","Others","Undergraduates or similar degree","AL","Age_75+","employed",7413,6,0.000809388911371914
"288","Male","Others","Undergraduates or similar degree","AL","Age_75+","unemployed",7413,69,0.00930797248077701
"289","Female","Asian","Graduates or higher degree","AR","Age_30-44","employed",4550,3,0.000659340659340659
"290","Female","Asian","Graduates or higher degree","AR","Age_45-59","employed",4550,2,0.00043956043956044
"291","Female","Asian","Highschool","AR","Age_18-29","employed",4550,3,0.000659340659340659
"292","Female","Asian","Highschool","AR","Age_30-44","employed",4550,1,0.00021978021978022
"293","Female","Asian","Highschool","AR","Age_30-44","unemployed",4550,1,0.00021978021978022
"294","Female","Asian","Highschool","AR","Age_45-59","employed",4550,3,0.000659340659340659
"295","Female","Asian","Highschool","AR","Age_45-59","unemployed",4550,2,0.00043956043956044
"296","Female","Asian","Highschool","AR","Age_60-74","employed",4550,1,0.00021978021978022
"297","Female","Asian","Highschool","AR","Age_75+","unemployed",4550,2,0.00043956043956044
"298","Female","Asian","Less than highschool","AR","Age_30-44","employed",4550,1,0.00021978021978022
"299","Female","Asian","Undergraduates or similar degree","AR","Age_18-29","employed",4550,3,0.000659340659340659
